Id,ActivityHour,Calories
1503960366,04-12-2016 00:00,81
1503960366,04-12-2016 01:00,61
1503960366,04-12-2016 02:00,59
1503960366,04-12-2016 03:00,47
1503960366,04-12-2016 04:00,48
1503960366,04-12-2016 05:00,48
1503960366,04-12-2016 06:00,48
1503960366,04-12-2016 07:00,47
1503960366,04-12-2016 08:00,68
1503960366,04-12-2016 09:00,141
1503960366,04-12-2016 10:00,99
1503960366,04-12-2016 11:00,76
1503960366,04-12-2016 12:00,73
1503960366,04-12-2016 13:00,66
1503960366,04-12-2016 14:00,110
1503960366,04-12-2016 15:00,151
1503960366,04-12-2016 16:00,76
1503960366,04-12-2016 17:00,83
1503960366,04-12-2016 18:00,124
1503960366,04-12-2016 19:00,104
1503960366,04-12-2016 20:00,132
1503960366,04-12-2016 21:00,100
1503960366,04-12-2016 22:00,65
1503960366,04-12-2016 23:00,81
1503960366,4/13/2016 12:00:00 AM,69
1503960366,4/13/2016 1:00:00 AM,48
1503960366,4/13/2016 2:00:00 AM,47
1503960366,4/13/2016 3:00:00 AM,53
1503960366,4/13/2016 4:00:00 AM,47
1503960366,4/13/2016 5:00:00 AM,47
1503960366,4/13/2016 6:00:00 AM,48
1503960366,4/13/2016 7:00:00 AM,59
1503960366,4/13/2016 8:00:00 AM,69
1503960366,4/13/2016 9:00:00 AM,136
1503960366,4/13/2016 10:00:00 AM,77
1503960366,4/13/2016 11:00:00 AM,84
1503960366,4/13/2016 12:00:00 PM,82
1503960366,4/13/2016 1:00:00 PM,72
1503960366,4/13/2016 2:00:00 PM,128
1503960366,4/13/2016 3:00:00 PM,79
1503960366,4/13/2016 4:00:00 PM,71
1503960366,4/13/2016 5:00:00 PM,87
1503960366,4/13/2016 6:00:00 PM,118
1503960366,4/13/2016 7:00:00 PM,73
1503960366,4/13/2016 8:00:00 PM,47
1503960366,4/13/2016 9:00:00 PM,48
1503960366,4/13/2016 10:00:00 PM,74
1503960366,4/13/2016 11:00:00 PM,135
1503960366,4/14/2016 12:00:00 AM,56
1503960366,4/14/2016 1:00:00 AM,54
1503960366,4/14/2016 2:00:00 AM,47
1503960366,4/14/2016 3:00:00 AM,47
1503960366,4/14/2016 4:00:00 AM,47
1503960366,4/14/2016 5:00:00 AM,47
1503960366,4/14/2016 6:00:00 AM,47
1503960366,4/14/2016 7:00:00 AM,47
1503960366,4/14/2016 8:00:00 AM,47
1503960366,4/14/2016 9:00:00 AM,93
1503960366,4/14/2016 10:00:00 AM,109
1503960366,4/14/2016 11:00:00 AM,64
1503960366,4/14/2016 12:00:00 PM,85
1503960366,4/14/2016 1:00:00 PM,137
1503960366,4/14/2016 2:00:00 PM,113
1503960366,4/14/2016 3:00:00 PM,66
1503960366,4/14/2016 4:00:00 PM,88
1503960366,4/14/2016 5:00:00 PM,61
1503960366,4/14/2016 6:00:00 PM,72
1503960366,4/14/2016 7:00:00 PM,55
1503960366,4/14/2016 8:00:00 PM,91
1503960366,4/14/2016 9:00:00 PM,174
1503960366,4/14/2016 10:00:00 PM,79
1503960366,4/14/2016 11:00:00 PM,50
1503960366,4/15/2016 12:00:00 AM,60
1503960366,4/15/2016 1:00:00 AM,58
1503960366,4/15/2016 2:00:00 AM,59
1503960366,4/15/2016 3:00:00 AM,47
1503960366,4/15/2016 4:00:00 AM,47
1503960366,4/15/2016 5:00:00 AM,49
1503960366,4/15/2016 6:00:00 AM,47
1503960366,4/15/2016 7:00:00 AM,49
1503960366,4/15/2016 8:00:00 AM,54
1503960366,4/15/2016 9:00:00 AM,50
1503960366,4/15/2016 10:00:00 AM,63
1503960366,4/15/2016 11:00:00 AM,84
1503960366,4/15/2016 12:00:00 PM,74
1503960366,4/15/2016 1:00:00 PM,67
1503960366,4/15/2016 2:00:00 PM,47
1503960366,4/15/2016 3:00:00 PM,47
1503960366,4/15/2016 4:00:00 PM,47
1503960366,4/15/2016 5:00:00 PM,140
1503960366,4/15/2016 6:00:00 PM,87
1503960366,4/15/2016 7:00:00 PM,97
1503960366,4/15/2016 8:00:00 PM,64
1503960366,4/15/2016 9:00:00 PM,75
1503960366,4/15/2016 10:00:00 PM,151
1503960366,4/15/2016 11:00:00 PM,182
1503960366,4/16/2016 12:00:00 AM,77
1503960366,4/16/2016 1:00:00 AM,48
